Quality_ID,Batch_ID,Product_ID,Inspection_Date,Test_Type,Test_Result,Specification_Limit,Quality_Status,Defect_Type,Rejection_Qty
Q00097,B202600097,P018,2025-07-20,Purity,98.42,96.3,Passed,None,0
Q00098,B202500098,P009,2026-05-28,Dissolution,91.25,95.92,Failed,Low Potency,731
Q00099,B202600099,P018,2025-03-16,Purity,98.41,97.54,Passed,None,0
Q00100,B202500100,P002,2025-08-11,Purity,101.64,98.94,Passed,None,0
Q00101,B202600101,P009,2025-09-04,Dissolution,98.09,95.66,Passed,None,0
Q00102,B202500102,P016,2025-10-22,Potency,101.84,98.02,Passed,None,0
Q00103,B202600103,P017,2025-05-20,Assay,94.21,95.06,Failed,Dissolution Failure,325
Q00104,B202500104,P018,2026-07-07,Purity,95.27,95.47,Failed,Low Potency,349
Q00105,B202600105,P002,2025-06-12,Purity,101.42,98.73,Passed,None,0
Q00106,B202500106,P018,2025-12-01,Purity,97.29,96.9,Passed,None,0
Q00107,B202600107,P019,2026-07-30,Potency,95.97,95.04,Passed,None,0
Q00108,B202500108,P012,2025-03-31,Purity,98.3,96.41,Passed,None,0
Q00109,B202600109,P002,2025-06-23,Purity,102.7,96.5,Passed,None,0
Q00110,B202500110,P010,2026-05-15,Assay,99.3,95.6,Passed,None,0
Q00111,B202600111,P004,2025-09-15,Assay,102.16,98.84,Passed,None,0
Q00112,B202500112,P017,2025-08-15,Assay,102.47,98.79,Passed,None,0
Q00113,B202600113,P020,2025-12-11,Potency,94.03,95.16,Failed,Dissolution Failure,699
Q00114,B202500114,P018,2025-07-23,Purity,99.64,98.33,Passed,None,0
Q00115,B202600115,P004,2026-05-23,Assay,93.77,95.9,Failed,Packaging Defect,522
Q00116,B202500116,P017,2025-08-25,Assay,97.41,96.08,Passed,None,0
Q00117,B202600117,P005,2025-08-25,Purity,98.6,98.27,Passed,None,0
Q00118,B202500118,P005,2025-07-08,Purity,97.07,97.54,Failed,Low Potency,504
Q00119,B202600119,P012,2025-05-28,Purity,102.29,96.6,Passed,None,0
Q00120,B202500120,P018,2025-12-31,Purity,101.65,97.91,Passed,None,0
Q00121,B202600121,P007,2026-01-04,Assay,101.11,98.04,Passed,None,0
Q00122,B202500122,P010,2025-07-05,Assay,98.96,96.48,Passed,None,0
Q00123,B202600123,P016,2026-05-06,Potency,99.55,98.03,Passed,None,0
Q00124,B202500124,P017,2025-12-16,Assay,98.54,95.14,Passed,None,0
Q00125,B202600125,P014,2025-06-21,Purity,96.61,96.54,Passed,None,0
Q00126,B202500126,P014,2025-04-13,Purity,97.94,97.64,Passed,None,0
Q00127,B202600127,P008,2025-08-17,Purity,102.09,98.65,Passed,None,0
Q00128,B202500128,P018,2025-04-18,Purity,99.64,96.21,Passed,None,0
Q00129,B202600129,P019,2025-08-24,Potency,99.25,98.0,Passed,None,0
Q00130,B202500130,P011,2025-01-15,Potency,98.09,95.47,Passed,None,0
Q00131,B202600131,P001,2025-10-09,Assay,97.71,96.91,Passed,None,0
Q00132,B202500132,P004,2025-12-02,Assay,98.4,96.36,Passed,None,0
Q00133,B202600133,P007,2025-05-30,Assay,99.95,97.33,Passed,None,0
Q00134,B202500134,P005,2025-07-19,Purity,99.99,96.61,Passed,None,0
Q00135,B202600135,P009,2025-11-30,Dissolution,100.75,97.89,Passed,None,0
Q00136,B202500136,P008,2026-02-05,Purity,102.32,98.65,Passed,None,0
Q00137,B202600137,P017,2026-04-16,Assay,101.12,98.15,Passed,None,0
Q00138,B202500138,P018,2026-06-24,Purity,97.11,95.98,Passed,None,0
Q00139,B202600139,P001,2025-07-20,Assay,99.0,97.76,Passed,None,0
Q00140,B202500140,P004,2025-02-04,Assay,100.72,98.01,Passed,None,0
Q00141,B202600141,P020,2025-02-25,Potency,101.91,97.89,Passed,None,0
Q00142,B202500142,P016,2026-06-01,Potency,96.32,95.16,Passed,None,0
Q00143,B202600143,P016,2025-04-22,Potency,99.84,98.48,Passed,None,0
Q00144,B202500144,P005,2025-01-22,Purity,98.76,98.12,Passed,None,0
Q00145,B202600145,P012,2026-06-14,Purity,100.96,96.63,Passed,None,0
Q00146,B202500146,P014,2025-11-12,Purity,100.75,97.58,Passed,None,0
Q00147,B202600147,P016,2026-07-06,Potency,101.16,97.46,Passed,None,0
Q00148,B202500148,P002,2025-12-21,Purity,100.69,98.45,Passed,None,0
Q00149,B202600149,P002,2026-05-20,Purity,96.49,95.66,Passed,None,0
Q00150,B202500150,P016,2025-05-12,Potency,97.96,97.91,Passed,None,0
Q00151,B202600151,P013,2025-08-01,Assay,99.87,97.15,Passed,None,0
Q00152,B202500152,P006,2025-11-13,Assay,100.76,96.93,Passed,None,0
Q00153,B202600153,P002,2026-01-18,Purity,97.02,95.67,Passed,None,0
Q00154,B202500154,P014,2025-05-24,Purity,101.1,98.0,Passed,None,0
Q00155,B202600155,P010,2025-08-20,Assay,98.53,98.73,Failed,Low Potency,305
Q00156,B202500156,P015,2025-05-15,Dissolution,100.66,98.4,Passed,None,0
Q00157,B202600157,P011,2026-01-12,Potency,91.95,95.3,Failed,High Impurity,763
Q00158,B202500158,P016,2025-07-22,Potency,99.38,97.84,Passed,None,0
Q00159,B202600159,P010,2025-12-24,Assay,99.62,98.11,Passed,None,0
Q00160,B202500160,P007,2025-12-09,Assay,95.97,95.74,Passed,None,0
Q00161,B202600161,P001,2025-01-27,Assay,95.93,95.25,Passed,None,0
Q00162,B202500162,P001,2025-09-24,Assay,97.07,95.23,Passed,None,0
Q00163,B202600163,P016,2025-12-25,Potency,100.98,98.33,Passed,None,0
Q00164,B202500164,P006,2026-02-09,Assay,98.88,96.59,Passed,None,0
Q00165,B202600165,P020,2026-08-12,Potency,92.74,96.51,Failed,High Impurity,334
Q00166,B202500166,P005,2026-05-14,Purity,99.15,98.71,Passed,None,0
Q00167,B202600167,P018,2025-09-28,Purity,101.77,96.99,Passed,None,0
Q00168,B202500168,P014,2025-07-31,Purity,99.6,97.37,Passed,None,0
Q00169,B202600169,P011,2025-08-12,Potency,94.95,98.65,Failed,Packaging Defect,507
Q00170,B202500170,P009,2025-11-23,Dissolution,96.2,96.53,Failed,Dissolution Failure,895
Q00171,B202600171,P008,2025-12-19,Purity,98.44,97.38,Passed,None,0
Q00172,B202500172,P016,2026-03-08,Potency,94.82,96.08,Failed,Packaging Defect,475
Q00173,B202600173,P007,2026-05-05,Assay,99.64,98.64,Passed,None,0
Q00174,B202500174,P019,2025-10-06,Potency,99.63,97.42,Passed,None,0
Q00175,B202600175,P001,2025-10-02,Assay,94.01,95.37,Failed,Low Potency,289
Q00176,B202500176,P007,2025-11-11,Assay,96.99,95.44,Passed,None,0
Q00177,B202600177,P017,2025-09-04,Assay,92.5,95.62,Failed,Dissolution Failure,803
Q00178,B202500178,P001,2026-03-27,Assay,103.36,98.56,Passed,None,0
Q00179,B202600179,P009,2025-05-30,Dissolution,102.71,98.57,Passed,None,0
Q00180,B202500180,P006,2025-03-28,Assay,96.7,95.98,Passed,None,0
Q00181,B202600181,P003,2025-04-08,Dissolution,92.28,96.96,Failed,Dissolution Failure,136
Q00182,B202500182,P007,2025-10-09,Assay,95.52,95.73,Failed,Packaging Defect,827
Q00183,B202600183,P010,2026-07-19,Assay,98.85,95.08,Passed,None,0
Q00184,B202500184,P003,2026-06-15,Dissolution,98.16,95.74,Passed,None,0
Q00185,B202600185,P011,2026-08-16,Potency,96.26,95.49,Passed,None,0
Q00186,B202500186,P005,2026-06-06,Purity,99.03,96.62,Passed,None,0
Q00187,B202600187,P009,2026-07-13,Dissolution,99.91,95.88,Passed,None,0
Q00188,B202500188,P008,2026-02-05,Purity,97.48,96.17,Passed,None,0
Q00189,B202600189,P009,2026-07-08,Dissolution,100.5,97.21,Passed,None,0
Q00190,B202500190,P003,2025-11-07,Dissolution,99.7,97.93,Passed,None,0
Q00191,B202600191,P007,2025-04-03,Assay,96.77,96.96,Failed,Packaging Defect,79
Q00192,B202500192,P001,2025-06-16,Assay,98.35,96.54,Passed,None,0
Q00193,B202600193,P018,2025-04-07,Purity,100.33,98.29,Passed,None,0
Q00194,B202500194,P012,2025-06-03,Purity,101.15,98.77,Passed,None,0
Q00195,B202600195,P007,2026-02-23,Assay,97.62,95.49,Passed,None,0
Q00196,B202500196,P012,2026-03-07,Purity,98.62,97.43,Passed,None,0
Q00197,B202600197,P015,2025-07-12,Dissolution,99.14,96.2,Passed,None,0
Q00198,B202500198,P001,2025-04-04,Assay,98.11,97.83,Passed,None,0
Q00199,B202600199,P020,2025-04-12,Potency,99.27,95.06,Passed,None,0
Q00200,B202500200,P007,2025-11-20,Assay,101.59,98.77,Passed,None,0
Q00201,B202600201,P019,2025-04-03,Potency,101.42,98.63,Passed,None,0
Q00202,B202500202,P019,2026-04-23,Potency,98.74,97.43,Passed,None,0
Q00203,B202600203,P011,2025-01-08,Potency,96.38,95.95,Passed,None,0
Q00204,B202500204,P016,2026-01-29,Potency,103.98,98.2,Passed,None,0
Q00205,B202600205,P003,2025-06-04,Dissolution,97.53,95.15,Passed,None,0
Q00206,B202500206,P006,2025-04-06,Assay,98.42,97.51,Passed,None,0
Q00207,B202600207,P004,2026-01-26,Assay,95.93,97.02,Failed,Contamination,409
Q00208,B202500208,P011,2025-08-29,Potency,96.46,95.09,Passed,None,0
Q00209,B202600209,P005,2026-03-06,Purity,99.21,96.8,Passed,None,0
Q00210,B202500210,P006,2026-03-23,Assay,97.81,96.65,Passed,None,0
Q00211,B202600211,P015,2025-05-25,Dissolution,103.47,98.39,Passed,None,0
Q00212,B202500212,P004,2025-05-04,Assay,96.92,96.9,Passed,None,0
Q00213,B202600213,P003,2025-07-05,Dissolution,97.75,95.63,Passed,None,0
Q00214,B202500214,P010,2026-05-10,Assay,98.48,98.05,Passed,None,0
Q00215,B202600215,P016,2025-02-28,Potency,97.43,98.11,Failed,High Impurity,445
Q00216,B202500216,P005,2025-06-18,Purity,100.16,95.28,Passed,None,0
Q00217,B202600217,P014,2025-12-20,Purity,94.5,95.89,Failed,Contamination,971
Q00218,B202500218,P016,2025-06-04,Potency,97.17,96.24,Passed,None,0
Q00219,B202600219,P009,2026-02-23,Dissolution,100.78,97.98,Passed,None,0
Q00220,B202500220,P019,2025-05-30,Potency,99.43,96.98,Passed,None,0
Q00221,B202600221,P008,2025-08-24,Purity,100.42,96.3,Passed,None,0
Q00222,B202500222,P012,2025-04-16,Purity,98.46,98.21,Passed,None,0
Q00223,B202600223,P017,2026-05-31,Assay,95.95,95.83,Passed,None,0
Q00224,B202500224,P016,2025-08-15,Potency,99.2,95.7,Passed,None,0
Q00225,B202600225,P003,2026-08-15,Dissolution,100.17,98.77,Passed,None,0
Q00226,B202500226,P001,2025-06-30,Assay,101.85,98.59,Passed,None,0
Q00227,B202600227,P005,2026-07-09,Purity,91.61,96.04,Failed,Contamination,980
Q00228,B202500228,P015,2025-05-07,Dissolution,104.17,98.11,Passed,None,0
Q00229,B202600229,P014,2026-07-06,Purity,96.66,96.96,Failed,High Impurity,233
Q00230,B202500230,P002,2026-05-10,Purity,98.54,95.04,Passed,None,0
Q00231,B202600231,P018,2025-10-25,Purity,99.15,98.45,Passed,None,0
Q00232,B202500232,P005,2025-10-30,Purity,102.26,98.84,Passed,None,0
Q00233,B202600233,P003,2025-05-27,Dissolution,99.84,98.71,Passed,None,0
Q00234,B202500234,P009,2026-07-03,Dissolution,95.09,95.82,Failed,Low Potency,853
Q00235,B202600235,P002,2025-09-27,Purity,97.0,95.02,Passed,None,0
Q00236,B202500236,P017,2025-11-20,Assay,97.43,97.36,Passed,None,0
Q00237,B202600237,P014,2025-07-22,Purity,99.69,96.29,Passed,None,0
Q00238,B202500238,P006,2025-05-24,Assay,100.62,97.03,Passed,None,0
Q00239,B202600239,P007,2026-04-14,Assay,98.33,95.11,Passed,None,0
Q00240,B202500240,P005,2025-10-06,Purity,99.59,98.54,Passed,None,0
Q00241,B202600241,P008,2026-06-09,Purity,97.73,96.98,Passed,None,0
Q00242,B202500242,P020,2025-03-19,Potency,96.67,97.79,Failed,Contamination,540
Q00243,B202600243,P007,2025-08-23,Assay,96.75,97.05,Failed,High Impurity,657
Q00244,B202500244,P020,2025-05-13,Potency,100.14,95.18,Passed,None,0
Q00245,B202600245,P006,2026-01-20,Assay,95.34,96.32,Failed,High Impurity,563
Q00246,B202500246,P013,2025-09-21,Assay,98.74,98.96,Failed,Dissolution Failure,612
Q00247,B202600247,P014,2025-06-03,Purity,99.15,97.32,Passed,None,0
Q00248,B202500248,P010,2025-10-13,Assay,96.21,96.97,Failed,Packaging Defect,799
Q00249,B202600249,P017,2025-06-12,Assay,98.94,96.43,Passed,None,0
Q00250,B202500250,P007,2026-04-27,Assay,100.43,97.73,Passed,None,0
Q00251,B202600251,P014,2025-04-26,Purity,95.93,95.53,Passed,None,0
Q00252,B202500252,P014,2026-03-16,Purity,98.87,95.44,Passed,None,0
Q00253,B202600253,P011,2025-02-28,Potency,90.78,95.62,Failed,Contamination,460
Q00254,B202500254,P016,2025-12-09,Potency,96.99,96.46,Passed,None,0
Q00255,B202600255,P001,2025-08-14,Assay,96.97,96.74,Passed,None,0
Q00256,B202500256,P020,2025-02-12,Potency,99.27,96.93,Passed,None,0
Q00257,B202600257,P001,2026-03-18,Assay,96.96,97.55,Failed,Dissolution Failure,523
Q00258,B202500258,P004,2025-07-22,Assay,100.03,97.43,Passed,None,0
Q00259,B202600259,P017,2025-03-16,Assay,98.58,95.26,Passed,None,0
Q00260,B202500260,P002,2026-05-27,Purity,100.37,98.49,Passed,None,0
Q00261,B202600261,P016,2026-08-13,Potency,94.93,96.34,Failed,Low Potency,940
Q00262,B202500262,P015,2025-02-16,Dissolution,103.73,98.5,Passed,None,0
Q00263,B202600263,P002,2025-04-24,Purity,96.94,97.45,Failed,Packaging Defect,559
Q00264,B202500264,P020,2026-01-31,Potency,98.73,95.11,Passed,None,0
Q00265,B202600265,P010,2026-02-11,Assay,101.16,97.98,Passed,None,0
Q00266,B202500266,P008,2026-02-23,Purity,99.52,97.14,Passed,None,0
Q00267,B202600267,P016,2025-06-04,Potency,95.88,96.15,Failed,Low Potency,150
Q00268,B202500268,P002,2026-08-18,Purity,96.29,95.62,Passed,None,0
Q00269,B202600269,P003,2025-03-27,Dissolution,103.83,99.0,Passed,None,0
Q00270,B202500270,P001,2025-05-28,Assay,96.66,98.15,Failed,High Impurity,771
Q00271,B202600271,P016,2025-08-21,Potency,97.88,97.12,Passed,None,0
Q00272,B202500272,P004,2025-12-08,Assay,96.58,96.48,Passed,None,0
Q00273,B202600273,P017,2026-07-05,Assay,102.8,97.04,Passed,None,0
Q00274,B202500274,P009,2025-02-21,Dissolution,100.87,96.29,Passed,None,0
Q00275,B202600275,P020,2025-02-27,Potency,95.64,96.32,Failed,Dissolution Failure,280
Q00276,B202500276,P016,2026-08-09,Potency,102.29,98.69,Passed,None,0
Q00277,B202600277,P006,2025-08-01,Assay,98.49,98.86,Failed,High Impurity,714
Q00278,B202500278,P007,2026-05-17,Assay,92.66,95.06,Failed,High Impurity,685
Q00279,B202600279,P006,2026-02-22,Assay,100.52,98.66,Passed,None,0
Q00280,B202500280,P014,2025-10-07,Purity,95.6,96.2,Failed,Low Potency,540
Q00281,B202600281,P004,2025-09-21,Assay,98.27,98.12,Passed,None,0
Q00282,B202500282,P002,2025-11-05,Purity,101.29,98.84,Passed,None,0
Q00283,B202600283,P005,2025-06-20,Purity,96.29,97.08,Failed,Low Potency,334
Q00284,B202500284,P018,2026-07-22,Purity,100.75,98.45,Passed,None,0
Q00285,B202600285,P003,2025-03-10,Dissolution,97.68,96.58,Passed,None,0
Q00286,B202500286,P017,2026-01-03,Assay,98.29,97.68,Passed,None,0
Q00287,B202600287,P011,2025-11-28,Potency,95.28,97.19,Failed,Contamination,848
Q00288,B202500288,P001,2025-06-15,Assay,96.53,97.64,Failed,Low Potency,678
Q00289,B202600289,P006,2025-12-06,Assay,99.07,98.48,Passed,None,0
Q00290,B202500290,P014,2025-06-28,Purity,94.76,97.76,Failed,Dissolution Failure,782
Q00291,B202600291,P002,2025-05-17,Purity,100.06,98.97,Passed,None,0
Q00292,B202500292,P020,2025-07-15,Potency,94.5,96.86,Failed,Dissolution Failure,667
Q00293,B202600293,P004,2026-01-20,Assay,95.92,96.66,Failed,Contamination,504
Q00294,B202500294,P017,2025-04-18,Assay,100.08,98.19,Passed,None,0
Q00295,B202600295,P020,2025-03-05,Potency,100.04,98.29,Passed,None,0
Q00296,B202500296,P006,2025-03-03,Assay,101.24,97.73,Passed,None,0
Q00297,B202600297,P001,2026-01-13,Assay,99.99,96.23,Passed,None,0
Q00298,B202500298,P009,2025-10-05,Dissolution,97.48,95.71,Passed,None,0
Q00299,B202600299,P011,2025-10-22,Potency,100.02,98.99,Passed,None,0
Q00300,B202500300,P016,2026-07-29,Potency,99.09,97.78,Passed,None,0
Q00301,B202600301,P003,2026-07-20,Dissolution,100.12,98.93,Passed,None,0
Q00302,B202500302,P020,2025-02-20,Potency,99.98,97.43,Passed,None,0
Q00303,B202600303,P005,2025-01-16,Purity,95.73,97.21,Failed,High Impurity,151
Q00304,B202500304,P019,2026-04-29,Potency,100.08,98.59,Passed,None,0
Q00305,B202600305,P009,2025-06-25,Dissolution,100.08,95.48,Passed,None,0
Q00306,B202500306,P003,2025-02-28,Dissolution,100.23,95.46,Passed,None,0
Q00307,B202600307,P020,2025-09-18,Potency,96.87,95.31,Passed,None,0
Q00308,B202500308,P013,2025-05-01,Assay,100.37,98.63,Passed,None,0
Q00309,B202600309,P018,2025-10-31,Purity,98.28,97.24,Passed,None,0
Q00310,B202500310,P006,2026-02-20,Assay,98.1,98.14,Failed,Contamination,993
Q00311,B202600311,P004,2025-07-30,Assay,96.37,96.88,Failed,Packaging Defect,297
Q00312,B202500312,P006,2026-06-26,Assay,94.81,96.32,Failed,Low Potency,696
Q00313,B202600313,P008,2025-04-05,Purity,98.32,97.27,Passed,None,0
Q00314,B202500314,P014,2026-05-13,Purity,99.75,95.32,Passed,None,0
Q00315,B202600315,P007,2025-08-24,Assay,97.33,95.65,Passed,None,0
Q00316,B202500316,P001,2025-01-15,Assay,93.68,95.26,Failed,Packaging Defect,760
Q00317,B202600317,P012,2025-12-03,Purity,101.15,95.8,Passed,None,0
Q00318,B202500318,P014,2026-06-02,Purity,101.61,98.86,Passed,None,0
Q00319,B202600319,P018,2025-12-24,Purity,98.14,97.71,Passed,None,0
Q00320,B202500320,P014,2025-07-17,Purity,95.54,96.27,Failed,High Impurity,810
Q00321,B202600321,P001,2026-06-20,Assay,101.92,98.69,Passed,None,0
Q00322,B202500322,P004,2025-08-07,Assay,94.74,97.03,Failed,Contamination,622
Q00323,B202600323,P014,2026-07-04,Purity,98.7,96.94,Passed,None,0
Q00324,B202500324,P006,2025-03-25,Assay,103.48,98.28,Passed,None,0
Q00325,B202600325,P011,2025-05-02,Potency,101.07,96.48,Passed,None,0
Q00326,B202500326,P019,2025-11-10,Potency,97.67,96.98,Passed,None,0
Q00327,B202600327,P008,2026-02-24,Purity,98.82,98.18,Passed,None,0
Q00328,B202500328,P015,2026-06-02,Dissolution,100.88,98.82,Passed,None,0
Q00329,B202600329,P002,2026-02-20,Purity,96.65,95.93,Passed,None,0
Q00330,B202500330,P017,2025-09-22,Assay,99.72,97.74,Passed,None,0
Q00331,B202600331,P017,2026-05-03,Assay,96.19,95.63,Passed,None,0
Q00332,B202500332,P011,2026-03-11,Potency,100.63,98.3,Passed,None,0
Q00333,B202600333,P011,2025-11-03,Potency,93.68,97.69,Failed,Packaging Defect,183
Q00334,B202500334,P005,2025-09-19,Purity,98.64,95.26,Passed,None,0
Q00335,B202600335,P002,2026-05-26,Purity,95.06,95.46,Failed,Packaging Defect,306
