Sale_ID,Sale_Date,Product_ID,Customer_ID,Batch_ID,Quantity_Sold,Unit_Price,Discount_Percent,Total_Sales,Sales_Region,Sales_Rep
S000044,2026-04-16,P004,H0354,B202602151,329,45,0.0,14805.0,North,Vikram
S000045,2026-05-07,P005,H0264,B202503342,895,95,5.0,80773.75,South,Neha
S000046,2026-01-06,P002,H0390,B202501004,369,85,5.0,29796.75,West,Anita
S000047,2026-02-18,P018,H0275,B202600759,665,80,7.5,49210.0,West,Sneha
S000048,2026-04-01,P004,H0441,B202501370,884,45,5.0,37791.0,South,Anita
S000049,2025-09-24,P005,H0110,B202604375,942,95,5.0,85015.5,North,Neha
S000050,2025-08-16,P006,H0080,B202601753,878,70,5.0,58387.0,West,Anita
S000051,2026-05-26,P017,H0191,B202500570,470,38,10.0,16074.0,West,Kiran
S000052,2026-05-24,P012,H0213,B202501290,519,65,10.0,30361.5,South,Rahul
S000053,2026-06-14,P018,H0149,B202603971,592,80,5.0,44992.0,West,Rahul
S000054,2026-04-19,P012,H0454,B202504758,386,65,5.0,23835.5,South,Sneha
S000055,2026-05-31,P018,H0229,B202500106,520,80,5.0,39520.0,West,Sneha
S000056,2026-04-24,P005,H0116,B202604729,336,95,10.0,28728.0,West,Anita
S000057,2025-11-28,P004,H0066,B202604689,673,45,2.5,29527.88,South,Sneha
S000058,2026-02-26,P015,H0322,B202501178,931,90,10.0,75411.0,South,Rahul
S000059,2025-10-10,P016,H0070,B202502896,805,110,7.5,81908.75,South,Kiran
S000060,2025-07-11,P013,H0416,B202503056,570,75,5.0,40612.5,South,Neha
S000061,2025-08-15,P016,H0138,B202504798,654,110,5.0,68343.0,North,Arjun
S000062,2026-04-22,P016,H0040,B202604845,713,110,7.5,72547.75,South,Neha
S000063,2026-03-08,P008,H0110,B202503970,430,40,7.5,15910.0,North,Anita
S000064,2025-12-18,P020,H0211,B202600507,655,300,2.5,191587.5,South,Vikram
S000065,2025-11-14,P009,H0112,B202504170,261,30,5.0,7438.5,West,Vikram
S000066,2026-01-13,P002,H0459,B202502780,128,85,2.5,10608.0,South,Neha
S000067,2026-03-11,P002,H0495,B202604427,495,85,0.0,42075.0,West,Arjun
S000068,2026-03-26,P004,H0027,B202503718,647,45,5.0,27659.25,West,Priya
S000069,2025-07-31,P013,H0083,B202501296,117,75,5.0,8336.25,North,Arjun
S000070,2026-02-27,P005,H0377,B202601687,523,95,5.0,47200.75,East,Kiran
S000071,2026-01-06,P015,H0298,B202504342,815,90,0.0,73350.0,East,Neha
S000072,2025-07-28,P008,H0485,B202500136,580,40,5.0,22040.0,South,Sneha
S000073,2025-08-11,P018,H0216,B202500356,145,80,0.0,11600.0,South,Arjun
S000074,2026-02-24,P007,H0253,B202603311,519,50,5.0,24652.5,South,Priya
S000075,2025-11-14,P013,H0408,B202504816,430,75,5.0,30637.5,West,Vikram
S000076,2026-04-17,P013,H0221,B202602329,474,75,7.5,32883.75,North,Rahul
S000077,2025-08-06,P020,H0038,B202500468,336,300,10.0,90720.0,West,Anita
S000078,2026-03-30,P017,H0075,B202504636,704,38,5.0,25414.4,North,Rahul
S000079,2025-09-08,P005,H0411,B202503078,399,95,2.5,36957.38,West,Vikram
S000080,2026-01-30,P019,H0309,B202504204,265,125,7.5,30640.62,South,Vikram
S000081,2026-03-04,P003,H0419,B202501852,476,120,2.5,55692.0,North,Vikram
S000082,2025-07-28,P007,H0249,B202503266,831,50,5.0,39472.5,South,Vikram
S000083,2026-03-09,P020,H0492,B202604823,846,300,10.0,228420.0,South,Anita
S000084,2026-06-07,P004,H0080,B202601359,974,45,10.0,39447.0,West,Rahul
S000085,2025-12-31,P011,H0296,B202604037,396,450,7.5,164835.0,West,Sneha
S000086,2026-06-26,P001,H0199,B202500632,532,35,5.0,17689.0,South,Sneha
S000087,2026-01-13,P008,H0497,B202504090,833,40,5.0,31654.0,West,Arjun
S000088,2026-04-26,P003,H0460,B202604283,147,120,2.5,17199.0,West,Arjun
S000089,2026-05-18,P003,H0467,B202603317,911,120,5.0,103854.0,North,Anita
S000090,2025-12-10,P010,H0251,B202601599,473,55,5.0,24714.25,North,Kiran
S000091,2025-08-17,P020,H0128,B202600861,803,300,10.0,216810.0,West,Anita
S000092,2025-12-03,P006,H0359,B202603205,153,70,10.0,9639.0,East,Sneha
S000093,2025-09-03,P013,H0367,B202500792,43,75,10.0,2902.5,South,Neha
S000094,2026-01-24,P012,H0070,B202600397,957,65,5.0,59094.75,South,Priya
S000095,2026-05-02,P014,H0091,B202503652,38,42,0.0,1596.0,South,Sneha
S000096,2026-05-21,P004,H0236,B202500572,676,45,0.0,30420.0,East,Kiran
S000097,2025-07-07,P017,H0288,B202500116,925,38,2.5,34271.25,West,Anita
S000098,2025-08-25,P016,H0454,B202600143,968,110,2.5,103818.0,South,Anita
S000099,2026-04-08,P009,H0337,B202503968,498,30,2.5,14566.5,West,Vikram
S000100,2025-08-05,P005,H0411,B202500922,535,95,5.0,48283.75,West,Vikram
S000101,2026-04-01,P012,H0025,B202503920,233,65,0.0,15145.0,South,Vikram
S000102,2026-01-22,P003,H0198,B202502624,560,120,0.0,67200.0,West,Neha
S000103,2025-09-20,P020,H0320,B202604759,171,300,0.0,51300.0,South,Priya
S000104,2026-03-09,P007,H0215,B202503876,843,50,0.0,42150.0,West,Arjun
S000105,2025-11-30,P010,H0322,B202501130,914,55,2.5,49013.25,South,Vikram
S000106,2025-09-06,P005,H0076,B202602123,510,95,0.0,48450.0,South,Sneha
S000107,2025-07-03,P004,H0035,B202500050,594,45,10.0,24057.0,West,Priya
S000108,2026-04-26,P020,H0106,B202600275,53,300,7.5,14707.5,West,Neha
S000109,2025-08-20,P019,H0423,B202604059,596,125,5.0,70775.0,South,Neha
S000110,2026-02-09,P005,H0273,B202603485,774,95,0.0,73530.0,East,Sneha
S000111,2026-02-24,P012,H0139,B202500814,837,65,2.5,53044.88,South,Anita
S000112,2026-01-25,P017,H0389,B202602545,630,38,7.5,22144.5,West,Neha
S000113,2025-08-27,P017,H0347,B202501102,39,38,7.5,1370.85,West,Neha
S000114,2026-04-16,P015,H0447,B202601023,62,90,5.0,5301.0,West,Anita
S000115,2025-10-18,P004,H0075,B202501796,371,45,0.0,16695.0,North,Sneha
S000116,2025-08-05,P002,H0324,B202503092,711,85,5.0,57413.25,East,Sneha
S000117,2025-12-01,P007,H0424,B202604911,626,50,5.0,29735.0,East,Vikram
S000118,2026-02-10,P017,H0011,B202602887,707,38,7.5,24851.05,West,Rahul
S000119,2025-12-12,P005,H0426,B202600117,480,95,10.0,41040.0,South,Sneha
S000120,2025-11-14,P003,H0280,B202502682,481,120,0.0,57720.0,South,Sneha
S000121,2026-05-23,P003,H0247,B202602597,424,120,7.5,47064.0,South,Kiran
S000122,2026-05-07,P008,H0216,B202602433,869,40,7.5,32153.0,South,Neha
S000123,2025-09-16,P020,H0181,B202602727,910,300,10.0,245700.0,West,Anita
S000124,2025-12-22,P015,H0266,B202602925,472,90,5.0,40356.0,West,Rahul
S000125,2025-10-15,P002,H0103,B202500574,306,85,5.0,24709.5,West,Rahul
S000126,2026-04-28,P017,,B202502584,547,38,0.0,20786.0,West,Rahul
S000127,2025-09-09,P018,H0232,B202604863,828,80,7.5,61272.0,West,Rahul
S000128,2025-10-30,P014,H0062,B202602155,358,42,5.0,14284.2,North,Anita
S000129,2026-03-28,P020,H0041,B202601409,570,300,0.0,171000.0,East,Kiran
S000130,2026-06-22,P017,H0468,B202501934,363,38,5.0,13104.3,North,Anita
S000131,2026-01-09,P010,H0401,B202503332,818,55,0.0,44990.0,West,Kiran
S000132,2026-04-25,P003,H0184,B202503480,484,120,5.0,55176.0,West,Sneha
S000133,2026-03-13,P003,H0209,B202602597,309,120,5.0,35226.0,North,Arjun
S000134,2026-02-15,P014,H0403,B202604339,746,42,5.0,29765.4,West,Priya
S000135,2025-09-13,P009,H0009,B202603915,513,30,2.5,15005.25,West,Neha
S000136,2026-03-15,P009,H0412,B202600591,673,30,2.5,19685.25,West,Rahul
S000137,2026-04-13,P012,H0219,B202603385,729,65,2.5,46200.38,South,Anita
S000138,2026-02-22,P018,H0180,B202504512,855,80,7.5,63270.0,South,Anita
S000139,2025-11-19,P018,H0404,B202503442,863,80,5.0,65588.0,North,Kiran
S000140,2026-03-22,P013,H0233,B202501120,212,75,10.0,14310.0,West,Kiran
S000141,2025-09-11,P001,H0036,B202502210,357,35,5.0,11870.25,West,Neha
S000142,2026-01-21,P006,H0301,B202504230,897,70,0.0,62790.0,East,Rahul
S000143,2026-03-03,P006,H0061,B202604715,858,70,5.0,57057.0,North,Kiran
S000144,2026-03-17,P005,H0214,B202503690,598,95,0.0,56810.0,North,Arjun
S000145,2026-03-16,P009,H0166,B202601395,571,30,5.0,16273.5,South,Sneha
S000146,2025-10-15,P015,H0238,B202604735,154,90,10.0,12474.0,South,Priya
S000147,2025-07-13,P020,H0172,B202601761,200,300,2.5,58500.0,South,Priya
S000148,2025-12-07,P007,H0472,B202600999,225,50,5.0,10687.5,South,Vikram
S000149,2026-04-29,P003,H0373,B202600085,422,120,5.0,48108.0,South,Rahul
S000150,2026-05-02,P019,H0380,B202604883,28,125,10.0,3150.0,West,Sneha
S000151,2026-01-27,P017,H0239,B202604783,869,38,0.0,33022.0,South,Neha
S000152,2026-02-14,P013,H0107,B202600909,451,75,7.5,31288.12,East,Vikram
S000153,2025-10-04,P001,H0074,B202503468,786,35,5.0,26134.5,North,Sneha
S000154,2025-12-20,P012,H0134,B202601805,305,65,2.5,19329.38,North,Anita
S000155,2025-07-23,P001,H0100,B202501244,218,35,0.0,7630.0,West,Sneha
S000156,2026-04-14,P015,H0130,B202502634,257,90,5.0,21973.5,West,Neha
S000157,2025-09-06,P017,H0147,B202501242,529,38,0.0,20102.0,East,Arjun
S000158,2025-12-10,P014,H0367,B202604907,522,42,7.5,20279.7,South,Vikram
S000159,2026-05-10,P013,H0498,B202603919,126,75,2.5,9213.75,East,Vikram
S000160,2026-05-12,P019,H0330,B202502822,964,125,5.0,114475.0,West,Vikram
S000161,2026-02-09,P015,H0454,B202503206,912,90,5.0,77976.0,South,Arjun
S000162,2025-08-28,P011,H0189,B202502942,345,450,2.5,151368.75,North,Anita
S000163,2026-05-31,P005,H0491,B202503222,66,95,2.5,6113.25,South,Vikram
S000164,2026-05-12,P001,H0058,B202504214,30,35,5.0,997.5,North,Neha
S000165,2026-02-06,P016,H0480,B202600521,855,110,5.0,89347.5,North,Kiran
S000166,2025-11-14,P007,H0040,B202501950,727,50,2.5,35441.25,South,Rahul
S000167,2025-07-23,P006,H0418,B202601959,734,70,5.0,48811.0,East,Neha
S000168,2026-03-24,P007,H0495,B202602185,52,50,0.0,2600.0,West,Rahul
S000169,2026-02-17,P003,H0108,B202504948,374,120,5.0,42636.0,West,Arjun
S000170,2025-07-16,P004,H0167,B202602165,845,45,7.5,35173.12,West,Anita
S000171,2026-03-12,P013,H0300,B202501918,848,75,2.5,62010.0,South,Neha
S000172,2026-05-21,P016,H0018,B202501300,305,110,5.0,31872.5,West,Sneha
S000173,2025-07-15,P009,H0480,B202503070,926,30,2.5,27085.5,North,Arjun
S000174,2025-07-17,P005,H0076,B202500774,818,95,5.0,73824.5,South,Kiran
S000175,2025-07-29,P010,H0299,B202603707,292,55,7.5,14855.5,West,Rahul
S000176,2026-02-12,P004,H0457,B202504110,611,45,2.5,26807.62,South,Anita
S000177,2026-05-30,P002,H0351,B202603575,202,85,0.0,17170.0,North,Anita
S000178,2025-12-25,P016,H0012,B202504550,889,110,2.5,95345.25,North,Anita
S000179,2025-09-24,P011,H0132,B202500516,810,450,5.0,346275.0,South,Arjun
S000180,2026-03-27,P014,H0264,B202600251,105,42,5.0,4189.5,South,Neha
S000181,2025-07-09,P019,H0018,B202604359,492,125,0.0,61500.0,West,Vikram
S000182,2026-01-06,P004,H0056,B202600009,929,45,5.0,39714.75,North,Anita
S000183,2026-06-29,P009,H0209,B202504676,608,30,5.0,17328.0,North,Arjun
S000184,2025-07-25,P019,H0308,B202604697,653,125,10.0,73462.5,West,Sneha
S000185,2025-10-30,P002,H0440,B202503498,280,85,5.0,22610.0,South,Priya
S000186,2025-10-21,P013,H0043,B202503086,492,75,5.0,35055.0,West,Priya
S000187,2025-12-13,P009,H0454,B202503880,284,30,0.0,8520.0,South,Arjun
S000188,2025-10-09,P005,H0337,B202503522,730,95,0.0,69350.0,West,Arjun
S000189,2026-04-26,P004,H0293,B202602571,196,45,2.5,8599.5,North,Anita
S000190,2025-10-19,P002,H0031,B202601499,739,85,2.5,61244.62,West,Neha
S000191,2026-05-22,P007,H0396,B202602931,909,50,2.5,44313.75,North,Sneha
S000192,2026-04-03,P012,H0295,B202600829,589,65,0.0,38285.0,North,Arjun
S000193,2025-12-16,P012,H0201,B202500394,965,65,2.5,61156.88,South,Anita
S000194,2025-10-26,P007,H0116,B202501424,254,50,5.0,12065.0,West,Arjun
S000195,2026-03-29,P010,H0348,B202601643,876,55,5.0,45771.0,South,Priya
S000196,2026-03-18,P004,H0307,B202604573,955,45,0.0,42975.0,South,Arjun
S000197,2026-04-12,P006,H0394,B202501040,538,70,0.0,37660.0,South,Sneha
S000198,2025-12-15,P008,H0293,B202604811,858,40,7.5,31746.0,North,Priya
S000199,2025-12-08,P002,H0251,B202604499,327,85,2.5,27100.12,North,Vikram
S000200,2025-09-14,P018,H0159,B202601137,148,80,7.5,10952.0,North,Kiran
S000201,2025-10-04,P020,H0301,B202503958,649,300,10.0,175230.0,East,Neha
S000202,2025-11-28,P001,H0022,B202504682,675,35,2.5,23034.38,West,Priya
S000203,2026-05-01,P008,H0298,B202602975,929,40,10.0,33444.0,East,Sneha
S000204,2026-05-29,P007,H0440,B202600341,341,50,2.5,16623.75,South,Arjun
S000205,2026-01-16,P018,H0334,B202503420,560,80,7.5,41440.0,North,Arjun
S000206,2026-05-01,P016,H0110,B202601113,405,110,5.0,42322.5,North,Vikram
S000207,2026-05-10,P015,H0412,B202501678,685,90,5.0,58567.5,West,Anita
S000208,2026-06-11,P003,H0328,B202501208,729,120,10.0,78732.0,South,Arjun
S000209,2025-07-09,P007,H0100,B202600999,46,50,5.0,2185.0,West,Anita
S000210,2025-11-11,P007,H0326,B202502726,143,50,0.0,7150.0,North,Anita
S000211,2025-09-24,P008,H0219,B202600637,935,40,5.0,35530.0,South,Rahul
S000212,2026-02-04,P020,H0074,B202500264,26,300,2.5,7605.0,North,Arjun
S000213,2025-08-11,P011,H0053,B202601751,798,450,0.0,359100.0,South,Neha
S000214,2026-03-04,P006,H0412,B202503624,808,70,0.0,56560.0,West,Anita
S000215,2026-05-18,P011,H0117,B202604037,821,450,2.5,360213.75,North,Priya
S000216,2025-12-28,P013,H0415,B202600649,445,75,0.0,33375.0,South,Priya
S000217,2026-02-27,P014,H0170,B202504180,451,42,0.0,18942.0,West,Rahul
S000218,2026-04-05,P006,H0374,B202601421,860,70,2.5,58695.0,West,Priya
S000219,2025-07-13,P006,H0267,B202600947,106,70,7.5,6863.5,West,Anita
S000220,2026-02-02,P016,H0039,B202601113,141,110,7.5,14346.75,North,Vikram
S000221,2025-09-24,P015,H0368,B202504546,109,90,5.0,9319.5,West,Vikram
S000222,2025-08-30,P017,H0492,B202504846,483,38,10.0,16518.6,South,Anita
S000223,2025-09-09,P010,H0423,B202602195,870,55,10.0,43065.0,South,Anita
S000224,2025-09-11,P009,H0362,B202604267,787,30,10.0,21249.0,South,Vikram
S000225,2026-02-22,P011,H0289,B202501920,661,450,7.5,275141.25,North,Anita
S000226,2025-10-11,P007,H0309,B202503746,596,50,5.0,28310.0,South,Neha
S000227,2026-03-20,P014,H0005,B202600251,732,42,5.0,29206.8,East,Rahul
S000228,2025-10-01,P001,H0424,B202504192,213,35,5.0,7082.25,East,Priya
S000229,2026-04-05,P004,H0330,B202500564,365,45,5.0,15603.75,West,Arjun
S000230,2025-09-12,P014,H0350,B202502774,350,42,5.0,13965.0,West,Neha
S000231,2025-07-09,P006,H0361,B202502494,352,70,5.0,23408.0,South,Anita
S000232,2026-06-12,P014,H0345,B202603683,509,42,5.0,20309.1,South,Neha
S000233,2025-07-30,P017,H0437,B202600407,153,38,5.0,5523.3,North,Priya
S000234,2026-01-05,P006,H0234,B202503112,854,70,2.5,58285.5,East,Priya
S000235,2025-12-18,P016,H0299,B202502292,621,110,2.5,66602.25,West,Rahul
S000236,2025-12-20,P006,H0291,B202604715,324,70,0.0,22680.0,South,Rahul
S000237,2025-08-12,P002,H0101,B202503510,109,85,2.5,9033.38,South,Rahul
S000238,2025-12-04,P018,H0110,B202600403,566,80,5.0,43016.0,North,Kiran
S000239,2026-06-28,P009,H0495,B202500234,101,30,5.0,2878.5,West,Rahul
S000240,2026-06-03,P020,H0450,B202501836,685,300,2.5,200362.5,West,Vikram
S000241,2025-09-11,P009,H0301,B202601261,402,30,5.0,11457.0,East,Rahul
S000242,2026-06-23,P020,H0304,B202604319,558,300,5.0,159030.0,North,Anita
S000243,2025-10-16,P018,H0242,B202600847,514,80,5.0,39064.0,East,Sneha
S000244,2025-12-14,P004,H0291,B202500566,601,45,0.0,27045.0,South,Neha
S000245,2025-09-05,P015,H0372,B202601325,350,90,7.5,29137.5,South,Neha
S000246,2025-09-16,P015,H0154,B202503630,731,90,2.5,64145.25,South,Kiran
S000247,2025-11-15,P015,H0293,B202603451,189,90,5.0,16159.5,North,Anita
S000248,2025-10-30,P002,H0264,B202601221,877,85,10.0,67090.5,South,Arjun
S000249,2025-09-17,P020,H0172,B202503572,412,300,7.5,114330.0,South,Rahul
S000250,2026-03-22,P018,H0413,B202600817,801,80,7.5,59274.0,West,Arjun
S000251,2025-12-13,P012,H0389,B202500396,684,65,2.5,43348.5,West,Arjun
S000252,2025-12-31,P011,H0102,B202604467,459,450,0.0,206550.0,South,Anita
S000253,2026-02-17,P019,H0330,B202602639,493,125,2.5,60084.38,West,Arjun
S000254,2025-08-14,P019,H0045,B202503394,298,125,5.0,35387.5,South,Priya
S000255,2026-04-22,P018,H0307,B202502126,436,80,0.0,34880.0,South,Anita
S000256,2025-08-26,P008,H0087,B202500136,764,40,2.5,29796.0,East,Arjun
S000257,2025-12-25,P010,H0283,B202603897,139,55,0.0,7645.0,North,Rahul
S000258,2025-12-31,P006,H0081,B202603803,184,70,7.5,11914.0,South,Vikram
S000259,2026-04-03,P004,H0084,B202600115,360,45,5.0,15390.0,West,Rahul
S000260,2026-04-05,P019,H0105,B202504910,715,125,2.5,87140.62,South,Kiran
S000261,2026-03-30,P010,H0331,B202602253,294,55,5.0,15361.5,North,Anita
S000262,2026-04-22,P003,H0322,B202604139,294,120,10.0,31752.0,South,Arjun
S000263,2025-09-12,P016,H0019,B202503584,696,110,10.0,68904.0,West,Priya
S000264,2025-12-30,P020,H0202,B202603951,445,300,10.0,120150.0,West,Priya
S000265,2025-08-17,P017,H0117,B202600037,167,38,5.0,6028.7,North,Neha
S000266,2025-07-19,P004,H0110,B202602571,153,45,0.0,6885.0,North,Sneha
S000267,2026-01-26,P017,H0117,B202601577,519,38,5.0,18735.9,North,Anita
S000268,2026-04-20,P017,H0185,B202600813,23,38,5.0,830.3,East,Vikram
S000269,2026-01-27,P006,H0245,B202600031,872,70,10.0,54936.0,West,Anita
S000270,2025-07-13,P001,H0400,B202603839,340,35,7.5,11007.5,East,Kiran
S000271,2026-03-10,P020,H0261,B202501238,811,300,5.0,231135.0,West,Rahul
S000272,2025-12-21,P008,H0040,B202504404,175,40,5.0,6650.0,South,Rahul
S000273,2025-10-07,P013,H0353,B202600855,571,75,5.0,40683.75,East,Neha
S000274,2026-02-22,P005,H0240,B202504432,194,95,0.0,18430.0,East,Kiran
S000275,2025-07-21,P011,H0219,B202604495,566,450,2.5,248332.5,South,Vikram
S000276,2026-03-14,P003,H0174,B202501196,268,120,7.5,29748.0,South,Arjun
S000277,2025-10-05,P003,H0245,B202603669,718,120,10.0,77544.0,West,Rahul
S000278,2026-01-09,P001,H0349,B202503872,429,35,5.0,14264.25,East,Arjun
S000279,2025-12-05,P010,H0042,B202603433,264,55,5.0,13794.0,West,Vikram
S000280,2025-09-24,P015,H0204,B202601747,407,90,5.0,34798.5,East,Neha
S000281,2026-01-27,P006,H0448,B202503238,877,70,5.0,58320.5,South,Kiran
S000282,2025-12-18,P011,H0116,B202602665,377,450,5.0,161167.5,West,Rahul
S000283,2025-10-12,P003,H0448,B202600671,134,120,2.5,15678.0,South,Vikram
S000284,2026-06-29,P004,H0418,B202501370,814,45,2.5,35714.25,East,Kiran
S000285,2026-02-25,P001,H0172,B202503850,667,35,5.0,22177.75,South,Anita
S000286,2025-09-29,P017,H0435,B202604989,318,38,2.5,11781.9,North,Priya
S000287,2026-05-02,P007,H0232,B202503518,830,50,2.5,40462.5,West,Rahul
S000288,2025-08-03,P004,H0154,B202504808,23,45,7.5,957.38,South,Anita
S000289,2026-01-07,P011,H0453,B202502080,454,450,5.0,194085.0,North,Rahul
S000290,2026-03-31,P010,H0292,B202500248,400,55,7.5,20350.0,South,Rahul
S000291,2025-10-21,P008,H0392,B202600921,483,40,2.5,18837.0,East,Rahul
S000292,2026-04-03,P017,H0349,B202603237,87,38,5.0,3140.7,East,Neha
S000293,2025-10-01,P020,H0047,B202503020,359,300,0.0,107700.0,South,Sneha
S000294,2025-11-24,P012,H0150,B202502590,734,65,10.0,42939.0,West,Arjun
S000295,2025-07-11,P020,H0075,B202604617,474,300,2.5,138645.0,North,Anita
S000296,2025-12-31,P002,H0313,B202502562,902,85,2.5,74753.25,East,Vikram
S000297,2026-05-13,P008,H0241,B202600637,562,40,7.5,20794.0,East,Priya
S000298,2026-03-28,P019,H0328,B202604289,407,125,2.5,49603.12,South,Priya
S000299,2026-02-10,P002,H0115,B202603349,90,85,10.0,6885.0,South,Kiran
S000300,2025-11-16,P020,H0341,B202503030,418,300,2.5,122265.0,South,Anita
S000301,2025-08-04,P009,H0106,B202601525,907,30,0.0,27210.0,West,Arjun
S000302,2026-05-21,P018,H0421,B202604253,388,80,10.0,27936.0,South,Sneha
S000303,2026-04-28,P016,H0346,B202600143,786,110,7.5,79975.5,West,Kiran
S000304,2025-07-15,P017,H0345,B202600813,224,38,0.0,8512.0,South,Sneha
S000305,2026-02-23,P011,H0078,B202602961,787,450,2.5,345296.25,East,Anita
S000306,2026-02-14,P017,H0092,B202604821,819,38,5.0,29565.9,South,Anita
S000307,2025-07-31,P013,H0020,B202603899,41,75,5.0,2921.25,South,Neha
S000308,2025-10-17,P007,H0173,B202504574,103,50,5.0,4892.5,West,Vikram
S000309,2026-06-05,P012,H0160,B202602411,402,65,10.0,23517.0,East,Kiran
S000310,2025-12-16,P003,H0057,B202600285,620,120,0.0,74400.0,West,Sneha
S000311,2025-07-27,P008,H0449,B202604707,931,40,10.0,33516.0,West,Kiran
S000312,2025-11-22,P015,H0402,B202604973,674,90,2.5,59143.5,North,Arjun
S000313,2025-09-04,P015,H0217,B202602893,304,90,0.0,27360.0,West,Arjun
S000314,2026-03-16,P014,H0168,B202500314,667,42,0.0,28014.0,West,Arjun
S000315,2025-09-02,P016,H0339,B202502380,46,110,2.5,4933.5,West,Rahul
S000316,2026-06-29,P016,H0257,B202500158,121,110,2.5,12977.25,East,Priya
S000317,2025-08-16,P011,H0237,B202602401,741,450,2.5,325113.75,North,Rahul
S000318,2026-05-28,P013,H0272,B202503618,657,75,2.5,48043.12,North,Neha
S000319,2026-02-07,P002,H0394,B202602739,43,85,5.0,3472.25,South,Anita
S000320,2026-04-21,P003,H0204,B202600301,419,120,5.0,47766.0,East,Neha
S000321,2025-08-10,P020,H0476,B202604531,211,300,10.0,56970.0,West,Priya
S000322,2025-08-01,P019,H0203,B202503774,685,125,10.0,77062.5,South,Arjun
S000323,2026-05-14,P009,H0200,B202600591,371,30,0.0,11130.0,East,Sneha
S000324,2026-05-26,P007,H0371,B202503546,812,50,7.5,37555.0,North,Priya
